generator,threshold,N,metric,ranker,median_rank,rank_lo,rank_hi,metric_value,ci_lo,ci_hi
boltz2,0.8,5,ranked_success,pss,3.0,1.0,9.0,0.12015210869565217,0.07462732919254658,0.17021972049689438
boltz2,0.8,5,ranked_success,deeprank_ab,1.0,1.0,6.0,0.12213624844720498,0.07698680124223602,0.172361801242236
boltz2,0.8,5,ranked_success,abag_rank,9.0,4.0,10.0,0.11324210248447204,0.06987499999999999,0.16124223602484472
boltz2,0.8,50,gap_recovered,iptm,8.5,5.5,9.5,-0.38159961117536595,-1.2059500180440277,0.21874999999999972
boltz2,0.8,50,gap_recovered,ptm,9.5,7.0,10.0,-0.5417391796236126,-1.4668517347201722,0.08736447442166093
boltz2,0.8,50,gap_recovered,ranking_score,7.0,3.0,9.0,-0.23099736511989846,-1.078533943430017,0.3730407523510971
boltz2,0.8,50,gap_recovered,complex_plddt,3.0,1.5,7.0,0.28222625665205225,-0.025056947608200392,0.7101762971328187
boltz2,0.8,50,gap_recovered,pdockq2,4.0,1.5,7.0,0.11683025202843489,-0.29199430151866707,0.5633425616728979
boltz2,0.8,50,gap_recovered,ipsae,8.5,3.0,10.0,-0.38607998376222824,-1.2584757007154654,0.26200962470454175
boltz2,0.8,50,gap_recovered,anticonf,6.0,2.5,8.5,-0.04706216705256911,-0.5671075389935649,0.42638623326959785
boltz2,0.8,50,gap_recovered,pss,5.0,2.9875000000000114,9.0,0.07509615409002167,-0.3348197396263991,0.5070749059414686
boltz2,0.8,50,gap_recovered,deeprank_ab,1.5,1.0,6.5,0.4180169440937276,-0.0214569823248635,0.8415245315595775
boltz2,0.8,50,gap_recovered,abag_rank,2.0,1.0,5.0,0.432170866715794,0.09665763324299916,0.8363372244741744
boltz2,0.8,50,ranked_success,iptm,8.5,5.5,9.5,0.09299068322981366,0.049689440993788817,0.14285714285714285
boltz2,0.8,50,ranked_success,ptm,9.5,7.0,10.0,0.08683540372670807,0.043478260869565216,0.13043478260869565
boltz2,0.8,50,ranked_success,ranking_score,7.0,3.0,9.0,0.09916583850931676,0.055900621118012424,0.14906832298136646
boltz2,0.8,50,ranked_success,complex_plddt,3.0,1.5,7.0,0.11818695652173912,0.06832298136645963,0.16770186335403728
boltz2,0.8,50,ranked_success,pdockq2,4.0,1.5,7.0,0.11182360248447205,0.06832298136645963,0.16149068322981366
boltz2,0.8,50,ranked_success,ipsae,8.5,3.0,10.0,0.09304968944099379,0.049689440993788817,0.14285714285714285
boltz2,0.8,50,ranked_success,anticonf,6.0,2.5,8.5,0.10552298136645963,0.062111801242236024,0.15527950310559005
boltz2,0.8,50,ranked_success,pss,5.0,2.9875000000000114,9.0,0.11022440993788821,0.06664596273291926,0.16099378881987578
boltz2,0.8,50,ranked_success,deeprank_ab,1.5,1.0,6.5,0.12433540372670807,0.07453416149068323,0.17391304347826086
boltz2,0.8,50,ranked_success,abag_rank,2.0,1.0,5.0,0.12447391304347825,0.07453416149068323,0.18012422360248448
